"name","destination","chain_id","res_partner_id","categ_id"
"LOS FRAILES","OLD HAVANA","HABAGUANEX S.A.","LOS FRAILES","Hotel"
"LOS HELECHOS","TOPES DE COLLANTES","GAVIOTA HOTELES","LOS HELECHOS","Hotel"
"LOS JAZMINES","VINALES","CUBANACAN HOTELES","LOS JAZMINES","Hotel"
"LOS LAURELES","SANCTI SPIRITUS CITY","ISLAZUL","LOS LAURELES","Hotel"
"MAR DEL SUR","VARADERO","ISLAZUL","MAR DEL SUR","Hotel"
"MARIA LA GORDA (CIB)","GUANAHACABIBES","GAVIOTA HOTELES","MARIA LA GORDA (CIB)","Hotel"
"MARINA CAYO LARGO","CAYO LARGO","","MARINA CAYO LARGO","Hotel"
"MARIPOSA","HAVANA","CUBANACAN HOTELES","MARIPOSA","Hotel"
"MARQUES DE PRADO AMENO","OLD HAVANA","HABAGUANEX S.A.","MARQUES DE PRADO AMENO","Hotel"
"MARTI","GUANTANAMO","ISLAZUL","MARTI","Hotel"
"MASCOTTE","REMEDIOS","CUBANACAN HOTELES","MASCOTTE","Hotel"
"MELIA BUENAVISTA","CAYO SANTA MARIA","MELIA HOTELS INT.","MELIA BUENAVISTA","Hotel"
"MELIA CAYO COCO","CAYO COCO","MELIA HOTELS INT.","MELIA CAYO COCO","Hotel"
"MELIA CAYO GUILLERMO","CAYO GUILLERMO","MELIA HOTELS INT.","MELIA CAYO GUILLERMO","Hotel"
"MELIA CAYO SANTA MARIA","CAYO SANTA MARIA","MELIA HOTELS INT.","MELIA CAYO SANTA MARIA","Hotel"
"MELIA COHIBA","VEDADO","MELIA HOTELS INT.","MELIA COHIBA","Hotel"
"MELIA HABANA","MIRAMAR","MELIA HOTELS INT.","MELIA HABANA","Hotel"
"MELIA LAS AMERICAS","VARADERO","MELIA HOTELS INT.","MELIA LAS AMERICAS","Hotel"
"MELIA LAS ANTILLAS","VARADERO","MELIA HOTELS INT.","MELIA LAS ANTILLAS","Hotel"
"MELIA LAS DUNAS","CAYO SANTA MARIA","MELIA HOTELS INT.","MELIA LAS DUNAS","Hotel"
"MELIA MARINA VARADERO","VARADERO","MELIA HOTELS INT.","MELIA MARINA VARADERO","Hotel"
"MELIA PENINSULA VARADERO","VARADERO","MELIA HOTELS INT.","MELIA PENINSULA VARADERO","Hotel"
"MELIA SANTIAGO DE CUBA","SANTIAGO DE CUBA CITY","MELIA HOTELS INT.","MELIA SANTIAGO DE CUBA","Hotel"
"MELIA VARADERO","VARADERO","MELIA HOTELS INT.","MELIA VARADERO","Hotel"
"MEMORIES AZUL","CAYO SANTA MARIA","BLUE DIAMOND HOTELS & RESORTS","MEMORIES AZUL","Hotel"
"MEMORIES CARIBE","CAYO COCO","BLUE DIAMOND HOTELS & RESORTS","MEMORIES CARIBE","Hotel"
"MEMORIES FLAMENCO","CAYO COCO","BLUE DIAMOND HOTELS & RESORTS","MEMORIES FLAMENCO","Hotel"
"MEMORIES PARAISO","CAYO SANTA MARIA","BLUE DIAMOND HOTELS & RESORTS","MEMORIES PARAISO","Hotel"
"MEMORIES VARADERO","VARADERO","BLUE DIAMOND HOTELS & RESORTS","MEMORIES VARADERO","Hotel"
"MERCURE CUATRO PALMAS","VARADERO","ACCOR","MERCURE CUATRO PALMAS","Hotel"
"MERCURE PLAYA DE ORO","VARADERO","ACCOR","MERCURE PLAYA DE ORO","Hotel"
"MERCURE SEVILLA","OLD HAVANA","ACCOR","MERCURE SEVILLA","Hotel"
"MESON DE LA FLOTA","OLD HAVANA","HABAGUANEX S.A.","MESON DE LA FLOTA","Hotel"
"MESON DEL REGIDOR","TRINIDAD","CUBANACAN HOTELES","MESON DEL REGIDOR","Hotel"
"MIRADOR DE MAYABE","HOLGUIN CITY","ISLAZUL","MIRADOR DE MAYABE","Hotel"
"MIRADOR DE SAN DIEGO","SAN DIEGO","ISLAZUL","MIRADOR DE SAN DIEGO","Hotel"
"MOKA","LAS TERRAZAS","LAS TERRAZAS","MOKA","Hotel"
"MORON","CITY OF MORON","ISLAZUL","MORON","Hotel"
"NEPTUNO-TRITON","MIRAMAR","GRAN CARIBE","NEPTUNO-TRITON","Hotel"
"NIQUERO","GRANMA","ISLAZUL","NIQUERO","Hotel"
"OASIS","VARADERO","ISLAZUL","OASIS","Hotel"
"OCCIDENTAL MIRAMAR","MIRAMAR","OCCIDENTAL HOTELS & RESORTS","OCCIDENTAL MIRAMAR","Hotel"
"OCCIDENTAL MONTEHABANA","MIRAMAR","OCCIDENTAL HOTELS & RESORTS","OCCIDENTAL MONTEHABANA","Hotel"
"OCEAN VARADERO EL PATRIARCA","VARADERO","H10 HOTELS","OCEAN VARADERO EL PATRIARCA","Hotel"
"ORDO","GIBARA","CUBANACAN HOTELES","ORDO","Hotel"
"PALACIO AZUL","CIENFUEGOS","GRAN CARIBE","PALACIO AZUL","Hotel"
"PALACIO MARQUES DE SAN FELIPE","OLD HAVANA","HABAGUANEX S.A.","PALACIO MARQUES DE SAN FELIPE","Hotel"
"PALACIO OFARRIL","OLD HAVANA","HABAGUANEX S.A.","PALACIO OFARRIL","Hotel"
"PALACIO SAN MIGUEL","OLD HAVANA","HABAGUANEX S.A.","PALACIO SAN MIGUEL","Hotel"
"PALCO","","","PALCO","Hotel"
"PALMA REAL","VARADERO","BELLEVUE","PALMA REAL","Hotel"
"PANAMERICANO","HAVANA","ISLAZUL","PANAMERICANO","Hotel"
"PARADISUS PRINCESA DEL MAR","VARADERO","MELIA HOTELS INT.","PARADISUS PRINCESA DEL MAR","Hotel"
"PARADISUS RIO DE ORO","GUARDALAVACA","MELIA HOTELS INT.","PARADISUS RIO DE ORO","Hotel"
"PARADISUS VARADERO","VARADERO","MELIA HOTELS INT.","PARADISUS VARADERO","Hotel"
"PARK VIEW","OLD HAVANA","HABAGUANEX S.A.","PARK VIEW","Hotel"
"PASACABALLO","CIENFUEGOS","ISLAZUL","PASACABALLO","Hotel"
"PASEO HABANA","VEDADO","ISLAZUL","PASEO HABANA","Hotel"
"PERLA DEL MAR","CIENFUEGOS","GRAN CARIBE","PERLA DEL MAR","Hotel"
"PERNIK","HOLGUIN CITY","ISLAZUL","PERNIK","Hotel"
"PESTANA CAYO COCO","CAYO COCO","PESTANA HOTELS & RESORTS","PESTANA CAYO COCO","Hotel"
"PINAR DEL RIO","PINAR DEL RIO CITY","ISLAZUL","PINAR DEL RIO","Hotel"
"PLAYA BLANCA","CAYO LARGO","GRAN CARIBE","PLAYA BLANCA","Hotel"
"PLAYA CALETA","VARADERO","BELLEVUE","PLAYA CALETA","Hotel"
"PLAYA CAYO SANTA MARIA","CAYO SANTA MARIA","GAVIOTA HOTELES","PLAYA CAYO SANTA MARIA","Hotel"
"PLAYA COCO","CAYO COCO","GAVIOTA HOTELES","PLAYA COCO","Hotel"
"PLAYA COSTA VERDE","PLAYA PESQUERO","GAVIOTA HOTELES","PLAYA COSTA VERDE","Hotel"
"PLAYA GIRON","CIENAGA DE ZAPATA","CUBANACAN HOTELES","PLAYA GIRON","Hotel"
"PLAYA LARGA","CIENAGA DE ZAPATA","CUBANACAN HOTELES","PLAYA LARGA","Hotel"
"PLAYA PESQUERO","PLAYA PESQUERO","GAVIOTA HOTELES","PLAYA PESQUERO","Hotel"
"PLAZA","OLD HAVANA","GRAN CARIBE","PLAZA","Hotel"
"HOSTAL PLAZA","SANCTI SPIRITUS CITY","ISLAZUL","HOSTAL PLAZA","Hotel"
"PLAZA CAMAGUEY","CAMAGUEY CITY","ISLAZUL","PLAZA CAMAGUEY","Hotel"
"PLAZA BARACOA","BARACOA","GAVIOTA HOTELES","PLAZA BARACOA","Hotel"
"PORTO SANTO","BARACOA","GAVIOTA HOTELES","PORTO SANTO","Hotel"
"PUERTO PRINCIPE","CAMAGUEY CITY","ISLAZUL","PUERTO PRINCIPE","Hotel"
"PULLMAN","VARADERO","ISLAZUL","PULLMAN","Hotel"
"PUNTA BLANCA","VARADERO","ISLAZUL","PUNTA BLANCA","Hotel"
"PUNTA LA CUEVA","CIENFUEGOS","ISLAZUL","PUNTA LA CUEVA","Hotel"
"PUNTARENA","VARADERO","BELLEVUE","PUNTARENA","Hotel"
"QUINTA AVENIDA HABANA","MIRAMAR","GAVIOTA HOTELES","QUINTA AVENIDA HABANA","Hotel"
"RANCHO CLUB","SANTIAGO DE CUBA","ISLAZUL","RANCHO CLUB","Hotel"
"RANCHO EL TESORO","ISLA DE LA JUVENTUD","","RANCHO EL TESORO","Hotel"
"RANCHO HATUEY","SANCTI SPIRITUS CITY","ISLAZUL","RANCHO HATUEY","Hotel"
"RANCHO LUNA","CIENFUEGOS","GRAN CARIBE","RANCHO LUNA","Hotel"
"RANCHO SAN VICENTE","VINALES","CUBANACAN HOTELES","RANCHO SAN VICENTE","Hotel"
"RAQUEL","OLD HAVANA","HABAGUANEX S.A.","RAQUEL","Hotel"
"RIO MIEL","BARACOA","GAVIOTA HOTELES","RIO MIEL","Hotel"
"RIU PLAYA TURQUESA","GUARDALAVACA","RIU HOTELS & RESORTS","RIU PLAYA TURQUESA","Hotel"
